Temperature (C),Pressure (bar),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
2.8785,37.583,2.4323,0.41114,17.338,18.883,80.489,39.274,88.608,210.33,1.3792,14.872,0.02151,vapor
3.0228,37.723,2.4436,0.40924,17.335,18.878,80.452,39.32,88.971,210.24,1.377,14.888,0.02157,vapor
3.167,37.865,2.4549,0.40735,17.331,18.874,80.415,39.367,89.338,210.15,1.3748,14.905,0.021631,vapor
3.3113,38.007,2.4663,0.40546,17.328,18.869,80.378,39.414,89.709,210.06,1.3726,14.921,0.021692,vapor
3.4555,38.149,2.4778,0.40359,17.325,18.865,80.34,39.461,90.084,209.97,1.3704,14.938,0.021754,vapor
3.5998,38.291,2.4893,0.40172,17.322,18.86,80.303,39.508,90.462,209.88,1.3683,14.954,0.021816,vapor
3.7441,38.434,2.5009,0.39986,17.319,18.856,80.266,39.555,90.845,209.79,1.3661,14.971,0.021878,vapor
3.8883,38.577,2.5125,0.398,17.316,18.851,80.228,39.603,91.232,209.7,1.3639,14.988,0.021941,vapor
4.0326,38.721,2.5243,0.39616,17.312,18.846,80.191,39.651,91.623,209.6,1.3617,15.005,0.022005,vapor
4.1769,38.865,2.536,0.39432,17.309,18.841,80.153,39.698,92.018,209.51,1.3595,15.022,0.022069,vapor
4.3211,39.009,2.5479,0.39248,17.306,18.837,80.115,39.747,92.418,209.42,1.3573,15.039,0.022134,vapor
4.4654,39.154,2.5598,0.39066,17.302,18.832,80.077,39.795,92.822,209.32,1.3551,15.057,0.022199,vapor
4.6097,39.3,2.5717,0.38884,17.299,18.827,80.039,39.844,93.23,209.23,1.3529,15.074,0.022264,vapor
4.7539,39.445,2.5838,0.38703,17.295,18.822,80.001,39.893,93.643,209.14,1.3507,15.091,0.022331,vapor
4.8982,39.591,2.5959,0.38523,17.292,18.817,79.963,39.942,94.06,209.04,1.3485,15.109,0.022397,vapor
5.0424,39.738,2.608,0.38343,17.288,18.812,79.925,39.991,94.483,208.95,1.3463,15.126,0.022465,vapor
5.1867,39.885,2.6203,0.38164,17.285,18.807,79.887,40.04,94.91,208.85,1.3441,15.144,0.022533,vapor
5.331,40.032,2.6326,0.37986,17.281,18.802,79.848,40.09,95.341,208.75,1.3419,15.162,0.022601,vapor
5.4752,40.18,2.6449,0.37808,17.278,18.797,79.81,40.14,95.778,208.66,1.3397,15.18,0.02267,vapor
5.6195,40.328,2.6574,0.37631,17.274,18.792,79.771,40.19,96.22,208.56,1.3374,15.198,0.02274,vapor
5.7638,40.476,2.6699,0.37455,17.27,18.786,79.732,40.241,96.667,208.46,1.3352,15.216,0.02281,vapor
5.908,40.625,2.6824,0.3728,17.267,18.781,79.693,40.291,97.119,208.37,1.333,15.234,0.022881,vapor
6.0523,40.774,2.6951,0.37105,17.263,18.776,79.655,40.342,97.576,208.27,1.3308,15.252,0.022953,vapor
6.1966,40.924,2.7078,0.36931,17.259,18.77,79.615,40.393,98.039,208.17,1.3286,15.271,0.023025,vapor
6.3408,41.074,2.7206,0.36757,17.255,18.765,79.576,40.445,98.507,208.07,1.3264,15.289,0.023097,vapor
6.4851,41.225,2.7334,0.36584,17.251,18.76,79.537,40.496,98.981,207.97,1.3241,15.308,0.023171,vapor
6.6293,41.376,2.7464,0.36412,17.247,18.754,79.498,40.548,99.46,207.87,1.3219,15.327,0.023245,vapor
6.7736,41.527,2.7594,0.3624,17.244,18.749,79.458,40.6,99.945,207.77,1.3197,15.345,0.02332,vapor
6.9179,41.679,2.7724,0.36069,17.24,18.743,79.419,40.653,100.44,207.67,1.3174,15.364,0.023395,vapor
7.0621,41.831,2.7856,0.35899,17.236,18.737,79.379,40.706,100.93,207.57,1.3152,15.383,0.023471,vapor
7.2064,41.984,2.7988,0.35729,17.232,18.732,79.339,40.759,101.44,207.47,1.313,15.403,0.023548,vapor
7.3507,42.137,2.8121,0.3556,17.227,18.726,79.299,40.812,101.95,207.37,1.3107,15.422,0.023625,vapor
7.4949,42.29,2.8255,0.35392,17.223,18.72,79.259,40.865,102.46,207.26,1.3085,15.441,0.023704,vapor
7.6392,42.444,2.839,0.35224,17.219,18.714,79.219,40.919,102.98,207.16,1.3062,15.461,0.023783,vapor
7.7834,42.598,2.8525,0.35057,17.215,18.708,79.179,40.973,103.51,207.06,1.304,15.481,0.023862,vapor
7.9277,42.753,2.8661,0.3489,17.211,18.702,79.138,41.027,104.05,206.95,1.3017,15.5,0.023943,vapor
8.072,42.908,2.8798,0.34724,17.206,18.696,79.098,41.082,104.59,206.85,1.2995,15.52,0.024024,vapor
8.2162,43.064,2.8936,0.34559,17.202,18.69,79.057,41.137,105.14,206.74,1.2972,15.54,0.024106,vapor
8.3605,43.219,2.9075,0.34394,17.198,18.684,79.016,41.192,105.7,206.64,1.2949,15.56,0.024188,vapor
8.5048,43.376,2.9214,0.3423,17.193,18.678,78.975,41.248,106.26,206.53,1.2927,15.581,0.024272,vapor
